title,pubDate,link,description,imageLink,imageDescription
New Delhi is choking on smog and there's no end in sight,"Mon, 04 Nov 2019 09:59:11 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/tbjRLXCRMIE/index.html,â€¢ Air pollution reaches 'unbearable' levels,http://feeds.feedburner.com/~r/rss/edition_world/~4/tbjRLXCRMIE,
World's most profitable company to IPO,"Mon, 04 Nov 2019 10:43:39 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/WdGBNzqr0Ko/index.html,,http://feeds.feedburner.com/~r/rss/edition_world/~4/WdGBNzqr0Ko,
China perfected fake meat centuries before the Impossible Burger,"Mon, 04 Nov 2019 09:19:17 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/gb96p9WE7ow/index.html,,http://feeds.feedburner.com/~r/rss/edition_world/~4/gb96p9WE7ow,
Why US military aid is so crucial to Ukraine,"Mon, 04 Nov 2019 02:48:34 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/YxPYqk6S_S4/ukraine-troops-front-lines-russia-ward-pkg-vpx.cnn,"Following the now infamous phone call between President Trump and Ukrainian President Volodymyr Zelensky, the US temporarily suspended nearly $400 million in military and security aid to Ukraine. CNN's Clarissa Ward reports from the front lines of Ukraine's war with Russia, where forces say the need for military aid is dire.",http://feeds.feedburner.com/~r/rss/edition_world/~4/YxPYqk6S_S4,
China approves seaweed-based Alzheimer's drug. It's the first new one in 17 years,"Mon, 04 Nov 2019 07:55:31 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/egUv2keeyj8/index.html,"Authorities in China have approved a drug for the treatment of Alzheimer's disease, the first new medicine with the potential to treat the cognitive disorder in 17 years.",http://feeds.feedburner.com/~r/rss/edition_world/~4/egUv2keeyj8,
Microsoft tried a 4-day workweek in Japan. Productivity jumped 40%,"Mon, 04 Nov 2019 14:11:32 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/Y8goQ8aTQlU/index.html,A growing number of smaller companies are adopting a four-day workweek. Now the results of a recent trial at Microsoft suggest it could work even for the biggest businesses.,http://feeds.feedburner.com/~r/rss/edition_world/~4/Y8goQ8aTQlU,
World's most profitable company to IPO,"Mon, 04 Nov 2019 10:43:39 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/WdGBNzqr0Ko/index.html,,http://feeds.feedburner.com/~r/rss/edition_world/~4/WdGBNzqr0Ko,
China perfected fake meat centuries before the Impossible Burger,"Mon, 04 Nov 2019 09:19:17 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/gb96p9WE7ow/index.html,,http://feeds.feedburner.com/~r/rss/edition_world/~4/gb96p9WE7ow,
Why US military aid is so crucial to Ukraine,"Mon, 04 Nov 2019 02:48:34 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/YxPYqk6S_S4/ukraine-troops-front-lines-russia-ward-pkg-vpx.cnn,"Following the now infamous phone call between President Trump and Ukrainian President Volodymyr Zelensky, the US temporarily suspended nearly $400 million in military and security aid to Ukraine. CNN's Clarissa Ward reports from the front lines of Ukraine's war with Russia, where forces say the need for military aid is dire.",http://feeds.feedburner.com/~r/rss/edition_world/~4/YxPYqk6S_S4,
China approves seaweed-based Alzheimer's drug. It's the first new one in 17 years,"Mon, 04 Nov 2019 07:55:31 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/egUv2keeyj8/index.html,"Authorities in China have approved a drug for the treatment of Alzheimer's disease, the first new medicine with the potential to treat the cognitive disorder in 17 years.",http://feeds.feedburner.com/~r/rss/edition_world/~4/egUv2keeyj8,
Microsoft tried a 4-day workweek in Japan. Productivity jumped 40%,"Mon, 04 Nov 2019 14:11:32 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/Y8goQ8aTQlU/index.html,A growing number of smaller companies are adopting a four-day workweek. Now the results of a recent trial at Microsoft suggest it could work even for the biggest businesses.,http://feeds.feedburner.com/~r/rss/edition_world/~4/Y8goQ8aTQlU,
World's most profitable company to IPO,"Mon, 04 Nov 2019 10:43:39 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/WdGBNzqr0Ko/index.html,,http://feeds.feedburner.com/~r/rss/edition_world/~4/WdGBNzqr0Ko,
China perfected fake meat centuries before the Impossible Burger,"Mon, 04 Nov 2019 09:19:17 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/gb96p9WE7ow/index.html,,http://feeds.feedburner.com/~r/rss/edition_world/~4/gb96p9WE7ow,
Why US military aid is so crucial to Ukraine,"Mon, 04 Nov 2019 02:48:34 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/YxPYqk6S_S4/ukraine-troops-front-lines-russia-ward-pkg-vpx.cnn,"Following the now infamous phone call between President Trump and Ukrainian President Volodymyr Zelensky, the US temporarily suspended nearly $400 million in military and security aid to Ukraine. CNN's Clarissa Ward reports from the front lines of Ukraine's war with Russia, where forces say the need for military aid is dire.",http://feeds.feedburner.com/~r/rss/edition_world/~4/YxPYqk6S_S4,
China approves seaweed-based Alzheimer's drug. It's the first new one in 17 years,"Mon, 04 Nov 2019 07:55:31 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/egUv2keeyj8/index.html,"Authorities in China have approved a drug for the treatment of Alzheimer's disease, the first new medicine with the potential to treat the cognitive disorder in 17 years.",http://feeds.feedburner.com/~r/rss/edition_world/~4/egUv2keeyj8,
Microsoft tried a 4-day workweek in Japan. Productivity jumped 40%,"Mon, 04 Nov 2019 14:11:32 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/Y8goQ8aTQlU/index.html,A growing number of smaller companies are adopting a four-day workweek. Now the results of a recent trial at Microsoft suggest it could work even for the biggest businesses.,http://feeds.feedburner.com/~r/rss/edition_world/~4/Y8goQ8aTQlU,
